,,,,,,ProStream OUT,,,BB IN (163),,,,,,,,BB OUT (162),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,SD720х576/ HD1920х1080,HIGH,SD640х480,MED,SD320х240/ HD1280х720,LOW,,,,,,,,
#,Канал,,фронтенд,вещает,записывается,Multicast address,port,SRC address,Multicast address,port,SRC address,source IN,визуальное качество IN,визуальное качество OUT,Res,AR,Multicast address,Port,Multicast address,Port,Multicast address,Port,SRC address,TS Port,url,,,,,Новый домен
channel_num,channel_name_ru,refname,,stream_fe,dvr_fe,prostream_mc_address,prostream_mc_port,prostream_mc_src_address,mc_in_address,mc_in_port,,,,,resolution,aspect_ratio,mc_1_out_address,mc_1_out_port,mc_2_out_address,mc_2_out_port,mc_3_out_address,mc_3_out_port,mc_out_src_address,ts_port,,,,,,
11,Русский экстрим,russkijextrim,fe01,sfe1,,,,,233.99.61.56,5000,,,,удовлетворительно,544x576,4:3,228.8.10.44,10044,228.8.9.44,9044,228.8.8.44,8044,,17011,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:russkijextrim_sd.smil/playlist.m3u8,,228.8.8.44:8044,228.8.9.44:9044,228.8.10.44:10044,sfe1
12,Outdoor Channel,outdoorchannel,fe01,sfe1,закн,,,,239.32.0.14,5000,,,,удовлетворительно,720x576,4:3,228.8.10.47,10047,228.8.9.47,9047,228.8.8.47,8047,,17012,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:outdoorchannel_sd.smil/playlist.m3u8,http://закн.rt.bradburylab.tv/live/%02d_%02d_outdoorchannel_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.47:8047,228.8.9.47:9047,228.8.10.47:10047,sfe1
13,Amedia,amedia,fe01,sfe1,,,,,233.99.61.243,5000,,82.208.79.166,удовлетворительно,удовлетворительно,704x576,4:3,228.8.10.49,10049,228.8.9.49,9049,228.8.8.49,8049,,17013,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:amedia_sd.smil/playlist.m3u8,,228.8.8.49:8049,228.8.9.49:9049,228.8.10.49:10049,sfe1
14,Комедия ТВ,komedijatv,fe01,sfe1,sfe1,,,,233.99.61.90,5000,,,,удовлетворительно,704x576,4:3,228.8.10.50,10050,228.8.9.50,9050,228.8.8.50,8050,,17014,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:komedijatv_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_komedijatv_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.50:8050,228.8.9.50:9050,228.8.10.50:10050,sfe1
15,24 ТЕХНО,24techno,fe01,sfe1,sfe1,,,,239.2.255.43,2020,,,,удовлетворительно,544x576,4:3,228.8.10.54,10054,228.8.9.54,9054,228.8.8.54,8054,,17015,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:24techno_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_24techno_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.54:8054,228.8.9.54:9054,228.8.10.54:10054,sfe1
16,ТДК,tdk,fe01,sfe1,,,,,224.1.1.24,6000,,,,удовлетворительно,576x352,4:3,228.8.10.56,10056,228.8.9.56,9056,228.8.8.56,8056,,17016,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:tdk_sd.smil/playlist.m3u8,,228.8.8.56:8056,228.8.9.56:9056,228.8.10.56:10056,sfe1
17,ТНВ-Планета,tnvplaneta,fe01,sfe1,,,,,239.2.255.45,2020,,,удовлетворительно,удовлетворительно,544x576,4:3,228.8.10.57,10057,228.8.9.57,9057,228.8.8.57,8057,,17017,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:tnvplaneta_sd.smil/playlist.m3u8,,228.8.8.57:8057,228.8.9.57:9057,228.8.10.57:10057,sfe1
18,Кухня ТВ,kuhnjatv,fe01,sfe1,,,,,233.99.61.98,5000,,,,удовлетворительно,704x576,4:3,228.8.10.64,10064,228.8.9.64,9064,228.8.8.64,8064,,17018,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:kuhnjatv_sd.smil/playlist.m3u8,,228.8.8.64:8064,228.8.9.64:9064,228.8.10.64:10064,sfe1
19,Телепутешествия,teleputeshestviya,fe01,sfe1,sfe1,,,,239.32.0.5,5000,,,,удовлетворительно,544x576,16:9,228.8.10.58,10058,228.8.9.58,9058,228.8.8.58,8058,,17019,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:teleputeshestviya_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_teleputeshestviya_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.58:8058,228.8.9.58:9058,228.8.10.58:10058,sfe1
20,NAT Geo Wild,natgeowild,fe01,sfe1,sfe1,,,,239.32.0.32,5000,,,,удовлетворительно,720x576,4:3,228.8.10.28,10028,228.8.9.28,9028,228.8.8.28,8028,,17020,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:natgeowild_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_natgeowild_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.28:8028,228.8.9.28:9028,228.8.10.28:10028,sfe1
21,Stream:Ретро-ТВ,retrotv,fe01,sfe1,,,,,233.99.61.222,5000,,,,удовлетворительно,720x576,4:3,228.8.10.32,10032,228.8.9.32,9032,228.8.8.32,8032,,17021,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:retrotv_sd.smil/playlist.m3u8,,228.8.8.32:8032,228.8.9.32:9032,228.8.10.32:10032,sfe1
22,Stream:Здоровое ТВ,zdorovoetv,fe01,sfe1,,,,,233.99.61.220,5000,,,,удовлетворительно,720x576,4:3,228.8.10.25,10025,228.8.9.25,9025,228.8.8.25,8025,,17022,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:zdorovoetv_sd.smil/playlist.m3u8,,228.8.8.25:8025,228.8.9.25:9025,228.8.10.25:10025,sfe1
23,MGM,mgm,fe01,sfe1,sfe1,,,,239.32.0.26,5000,,,,удовлетворительно,720x576,4:3,228.8.10.29,10029,228.8.9.29,9029,228.8.8.29,8029,,17023,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:mgm_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_mgm_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.29:8029,228.8.9.29:9029,228.8.10.29:10029,sfe1
24,Eurosport News,eurosportnews,fe01,sfe1,,,,,239.32.0.58,5000,,,удовлетворительно,удовлетворительно,720x576,4:3,228.8.10.30,10030,228.8.9.30,9030,228.8.8.30,8030,,17024,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:eurosportnews_sd.smil/playlist.m3u8,,228.8.8.30:8030,228.8.9.30:9030,228.8.10.30:10030,sfe1
25,Tiji,tiji,fe01,sfe1,sfe1,,,,233.99.61.116,5000,,,удовлетворительно,удовлетворительно,704x576,4:3,228.8.10.46,10046,228.8.9.46,9046,228.8.8.46,8046,,17025,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:tiji_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_tiji_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.46:8046,228.8.9.46:9046,228.8.10.46:10046,sfe1
26,English club,englishclub,fe01,sfe1,,,,,239.255.50.93,1234,,,,удовлетворительно,544x576,16:9,228.8.10.65,10065,228.8.9.65,9065,228.8.8.65,8065,,17026,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:englishclub_sd.smil/playlist.m3u8,,228.8.8.65:8065,228.8.9.65:9065,228.8.10.65:10065,sfe1
27,Домашние Животные,domashniezhivotnye,fe01,sfe1,,,,,239.2.255.74,2020,,,удовлетворительно,удовлетворительно,720x576,4:3,228.8.10.18,10018,228.8.9.18,9018,228.8.8.18,8018,,17027,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:domashniezhivotnye_sd.smil/playlist.m3u8,,228.8.8.18:8018,228.8.9.18:9018,228.8.10.18:10018,sfe1
28,Психология 21,prihologija21,fe01,sfe1,,,,,239.2.255.76,2020,,,удовлетворительно,удовлетворительно,720x576,4:3,228.8.10.20,10020,228.8.9.20,9020,228.8.8.20,8020,,17028,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:prihologija21_sd.smil/playlist.m3u8,,228.8.8.20:8020,228.8.9.20:9020,228.8.10.20:10020,sfe1
29,Охота и рыбалка,ohotairybalka,fe01,sfe1,sfe1,,,,233.99.61.221,5000,,,удовлетворительно,удовлетворительно,720x576,4:3,228.8.10.22,10022,228.8.9.22,9022,228.8.8.22,8022,,17029,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:ohotairybalka_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_ohotairybalka_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.22:8022,228.8.9.22:9022,228.8.10.22:10022,sfe1
30,Stream:Усадьба-ТВ,usadba,fe01,sfe1,,,,,233.99.61.223,5000,,,,удовлетворительно,720x576,4:3,228.8.10.23,10023,228.8.9.23,9023,228.8.8.23,8023,,17030,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:usadba_sd.smil/playlist.m3u8,,228.8.8.23:8023,228.8.9.23:9023,228.8.10.23:10023,sfe2
